id,key,filename,content_type,metadata,byte_size,checksum,created_at
1,w64CBfcgshdUGYXAHSQD6ENC,20170821-kung-pao-chicken-gong-bao-ji-ding-food-lab-2-02.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",298227,V649t0I7Sa8coGw9x+RjJg==,2019-02-10 07:58:37.042693
2,Z2y7X82htnDEMD6FVXzUWr1J,1029_2PP_Greek_Chicken_Orzo_19286_WEB_SQ_hi_res.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",1916741,YDCjfePYzOUQKmGNf3Axbg==,2019-02-10 08:03:21.987519
3,7XK8L65GJibNe9zEtaLbtg2Q,1389218453775.jpeg,image/jpeg,"{""identified"":true,""analyzed"":true}",56340,DtSjHMjB8hx+IxHmrwgXWw==,2019-02-10 08:05:30.275898
7,d3b9Gp4TtktGfjoeqSgmTiWe,zucchini-noodles-946898470-5ae249aeff1b7800363048f2.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",83578,AglhVczCaNHUPdEutztZIg==,2019-02-10 18:50:02.280657
8,4pWdMckK1v8oVz8aaP2psegp,4462051.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",59591,SUTO7f6mZKr4ZinYa9nnhg==,2019-02-10 18:51:22.915233
9,jo32LxN1Sz7qz4KDrbwwr2L2,creamed-spinach-2500-56a20fbb3df78cf7727186af.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",147094,1wLxWvzILCiSgiW6IYKS1w==,2019-02-10 18:54:46.47557
10,YY9t843LEGh4cJbj1kgv3C2T,Egg_and_Cheddar_Breakfast_Sandwich_950x713_72_RGB.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",102583,2xRfyz/PMSc9ml29lLMnGQ==,2019-02-10 18:55:53.744701
11,WeYVZkH3ujxituQn8EydKYgb,shutterstock_380467537.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",481856,F8JkWjfGVjfJKIZoaQ9EHg==,2019-02-10 18:57:13.548319
12,C7o5ZFfPw6pSoPoTXKtneHmx,IMG_24172.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",174442,HdTsHcgY22KOgppgIlNLsw==,2019-02-10 19:02:27.553752
15,aibna94VW7oczw3Dn7zUHTzm,German-Spaetzle-Recipe-Plated-Cravings-4.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",140560,pyCYvWjBU4bhs5avbDo/+w==,2019-02-10 23:40:13.338914
16,vyoTstJLABhhmk65gEiSAY39,greek-salad-2-1200.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",101211,iKflCfcxXJXdDrUcn1teWQ==,2019-02-11 02:59:43.00219
17,Hhfbi5a9P5QMo4Dyp7RBDi9x,queso-fresco-recipe_1730x.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",90682,BEvVahoR4HQomtwwydSdvw==,2019-02-11 03:01:52.641581
18,vewc2uGJmVKfbrtqRkUdjSsD,img_2253.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",1558764,mD7G54t+e4SIHv9G10dADQ==,2019-02-11 03:08:52.073238
19,k36tCbytQQToJAP5q74hMhmn,Ginger-Lemongrass-Butternut-Squash-Soup.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",514896,MuSS/FF+/9pXlOXmdR3dwQ==,2019-02-11 03:10:53.230254
20,F5FYYLAVDWMk7o4Gsg38Jix9,1029_2PV2_Mushroom_Fettuccine_19259_WEB_SQ_hi_res.jpg,image/jpeg,"{""identified"":true,""analyzed"":true}",1793077,2IJ4jt/hcTgBroSUeZnZlg==,2019-02-11 03:12:29.289251
