id,name,created_at,updated_at
1,chicken breast,2018-11-25 06:30:23.806124,2018-11-25 06:30:23.806124
2,orzo pasta,2018-11-25 06:30:23.80978,2018-11-25 06:30:23.80978
3,garlic clove,2018-11-25 06:30:23.812963,2018-11-25 06:30:23.812963
4,crème fraîche,2018-11-25 06:30:23.816289,2018-11-25 06:30:23.816289
5,feta cheese,2018-11-25 06:30:23.819434,2018-11-25 06:30:23.819434
6,olives,2018-11-25 06:30:23.822567,2018-11-25 06:30:23.822567
7,dried oregano,2018-11-25 06:30:23.825629,2018-11-25 06:30:23.825629
8,broccoli,2018-11-25 06:30:23.828746,2018-11-25 06:30:23.828746
9,red wine vinegar,2018-11-25 06:30:23.832561,2018-11-25 06:30:23.832561
10,shaoxing wine,2018-11-25 06:30:23.835754,2018-11-25 06:30:23.835754
11,soy sauce,2018-11-25 06:30:23.838948,2018-11-25 06:30:23.838948
12,cornstarch,2018-11-25 06:30:23.842116,2018-11-25 06:30:23.842116
13,salt,2018-11-25 06:30:23.845854,2018-11-25 06:30:23.845854
14,honey,2018-11-25 06:30:23.849336,2018-11-25 06:30:23.849336
15,balsamic vinegar,2018-11-25 06:30:23.852653,2018-11-25 06:30:23.852653
16,chicken stock,2018-11-25 06:30:23.856365,2018-11-25 06:30:23.856365
17,vegetable oil,2018-11-25 06:30:23.859485,2018-11-25 06:30:23.859485
18,árbol chiles,2018-11-25 06:30:23.862758,2018-11-25 06:30:23.862758
19,sichuan peppercorns,2018-11-25 06:30:23.866442,2018-11-25 06:30:23.866442
20,ginger,2018-11-25 06:30:23.869709,2018-11-25 06:30:23.869709
21,scallions,2018-11-25 06:30:23.872964,2018-11-25 06:30:23.872964
22,peanuts,2018-11-25 06:30:23.876097,2018-11-25 06:30:23.876097
