id,measure_type,unit,abbreviation,created_at,updated_at
1,1,milligrams,mg,2018-12-20 07:34:32.284058,2018-12-20 07:34:32.284058
2,1,grams,g,2018-12-20 07:34:32.328834,2018-12-20 07:34:32.328834
3,1,kilograms,kg,2018-12-20 07:34:32.332677,2018-12-20 07:34:32.332677
4,1,ounces,oz,2018-12-20 07:34:32.336116,2018-12-20 07:34:32.336116
5,1,pounds,lb,2018-12-20 07:34:32.340137,2018-12-20 07:34:32.340137
6,0,milliliters,ml,2018-12-20 07:34:32.344016,2018-12-20 07:34:32.344016
7,0,liters,l,2018-12-20 07:34:32.347327,2018-12-20 07:34:32.347327
8,0,teaspoons,tsp,2018-12-20 07:34:32.350643,2018-12-20 07:34:32.350643
9,0,tablespoons,tbsp,2018-12-20 07:34:32.354093,2018-12-20 07:34:32.354093
10,0,cups,c,2018-12-20 07:34:32.357282,2018-12-20 07:34:32.357282
11,0,quarts,qt,2018-12-20 07:34:32.360362,2018-12-20 07:34:32.360362
12,0,pints,pt,2018-12-20 07:34:32.36358,2018-12-20 07:34:32.36358
13,0,gallons,gal,2018-12-20 07:34:32.366761,2018-12-20 07:34:32.366761
14,3,millimeters,mm,2018-12-20 07:34:32.369786,2018-12-20 07:34:32.369786
15,3,centimeters,cm,2018-12-20 07:34:32.372845,2018-12-20 07:34:32.372845
16,3,inches,in,2018-12-20 07:34:32.375066,2018-12-20 07:34:32.375066
17,3,feet,ft,2018-12-20 07:34:32.378257,2018-12-20 07:34:32.378257
18,2,count,,2018-12-20 07:34:32.381573,2018-12-20 07:34:32.381573
